,start,finish,duration
634,29705.0,29753.0,48.0
635,29723.0,29776.0,53.0
636,29756.0,29807.0,51.0
637,29778.0,29828.0,50.0
638,29793.0,29850.0,57.0
639,29798.0,29869.0,71.0
640,29858.0,29899.0,41.0
641,29885.0,29931.0,46.0
642,29985.0,30028.0,43.0
643,30100.0,30147.0,47.0
644,30160.0,30210.0,50.0
645,30354.0,30398.0,44.0
646,30377.0,30428.0,51.0
647,30387.0,30445.0,58.0
648,30534.0,30584.0,50.0
649,30551.0,30604.0,53.0
650,30690.0,30735.0,45.0
651,30716.0,30768.0,52.0
652,30742.0,30792.0,50.0
653,30744.0,30809.0,65.0
654,30885.0,30938.0,53.0
655,30893.0,30958.0,65.0
656,30895.0,30967.0,72.0
657,30916.0,30983.0,67.0
658,31003.0,31050.0,47.0
659,31111.0,31154.0,43.0
660,31157.0,31201.0,44.0
661,31175.0,31229.0,54.0
662,31199.0,31247.0,48.0
663,31244.0,31299.0,55.0
664,31272.0,31323.0,51.0
665,31278.0,31339.0,61.0
666,31382.0,31425.0,43.0
667,31409.0,31467.0,58.0
668,31441.0,31494.0,53.0
669,31476.0,31516.0,40.0
670,31541.0,31595.0,54.0
671,31572.0,31615.0,43.0
672,31753.0,31793.0,40.0
673,31847.0,31898.0,51.0
674,31867.0,31912.0,45.0
675,31939.0,31995.0,56.0
676,31954.0,32004.0,50.0
677,31972.0,32024.0,52.0
678,32237.0,32280.0,43.0
679,32275.0,32318.0,43.0
680,32355.0,32405.0,50.0
681,32437.0,32480.0,43.0
682,32568.0,32612.0,44.0
683,32581.0,32630.0,49.0
684,32729.0,32775.0,46.0
685,32761.0,32807.0,46.0
686,32823.0,32867.0,44.0
687,32963.0,33016.0,53.0
688,32988.0,33033.0,45.0
689,33042.0,33088.0,46.0
690,33061.0,33111.0,50.0
691,33070.0,33133.0,63.0
692,33093.0,33160.0,67.0
693,33141.0,33189.0,48.0
694,33192.0,33239.0,47.0
695,33298.0,33341.0,43.0
696,33419.0,33468.0,49.0
697,33423.0,33489.0,66.0
698,33459.0,33518.0,59.0
699,33462.0,33531.0,69.0
700,33472.0,33538.0,66.0
701,33542.0,33587.0,45.0
702,33547.0,33610.0,63.0
703,33620.0,33667.0,47.0
704,33684.0,33734.0,50.0
705,33759.0,33802.0,43.0
706,33861.0,33915.0,54.0
707,33900.0,33946.0,46.0
708,33920.0,33973.0,53.0
709,33943.0,33988.0,45.0
710,34051.0,34095.0,44.0
711,34179.0,34226.0,47.0
712,34240.0,34280.0,40.0
713,34310.0,34356.0,46.0
714,34330.0,34376.0,46.0
715,34444.0,34497.0,53.0
716,34455.0,34518.0,63.0
717,34457.0,34545.0,88.0
718,34511.0,34567.0,56.0
719,34523.0,34585.0,62.0
720,34642.0,34682.0,40.0
721,34755.0,34810.0,55.0
722,34788.0,34843.0,55.0
723,34825.0,34870.0,45.0
724,34875.0,34915.0,40.0
725,34914.0,34964.0,50.0
726,34949.0,34992.0,43.0
727,35014.0,35064.0,50.0
728,35029.0,35090.0,61.0
729,35048.0,35110.0,62.0
730,35123.0,35170.0,47.0
731,35136.0,35190.0,54.0
732,35152.0,35214.0,62.0
733,35156.0,35228.0,72.0
734,35278.0,35329.0,51.0
735,35281.0,35349.0,68.0
736,35300.0,35376.0,76.0
737,35313.0,35389.0,76.0
738,35354.0,35417.0,63.0
739,35363.0,35441.0,78.0
740,35393.0,35461.0,68.0
741,35403.0,35470.0,67.0
742,35416.0,35487.0,71.0
743,35521.0,35571.0,50.0
744,35556.0,35601.0,45.0
745,35562.0,35624.0,62.0
746,35586.0,35645.0,59.0
747,35608.0,35668.0,60.0
748,35624.0,35685.0,61.0
749,35698.0,35744.0,46.0
750,35712.0,35764.0,52.0
751,35784.0,35836.0,52.0
752,35807.0,35856.0,49.0
753,35857.0,35900.0,43.0
754,35939.0,35986.0,47.0
755,35996.0,36039.0,43.0
756,36039.0,36083.0,44.0
