,start,finish,duration
421,18905.0,18959.0,54.0
422,18928.0,18982.0,54.0
423,18939.0,18988.0,49.0
424,18954.0,19001.0,47.0
425,18992.0,19037.0,45.0
426,19009.0,19050.0,41.0
427,19134.0,19182.0,48.0
428,19154.0,19197.0,43.0
429,19185.0,19229.0,44.0
430,19302.0,19350.0,48.0
431,19324.0,19364.0,40.0
432,19390.0,19437.0,47.0
433,19413.0,19456.0,43.0
434,19509.0,19552.0,43.0
435,19555.0,19605.0,50.0
436,19566.0,19610.0,44.0
437,19625.0,19673.0,48.0
438,19641.0,19684.0,43.0
439,19713.0,19772.0,59.0
440,19715.0,19767.0,52.0
441,19747.0,19794.0,47.0
442,19869.0,19912.0,43.0
443,19931.0,19974.0,43.0
444,20011.0,20059.0,48.0
445,20024.0,20069.0,45.0
446,20102.0,20147.0,45.0
447,20137.0,20177.0,40.0
448,20185.0,20233.0,48.0
449,20199.0,20243.0,44.0
450,20302.0,20365.0,63.0
451,20321.0,20384.0,63.0
452,20327.0,20389.0,62.0
453,20342.0,20397.0,55.0
454,20358.0,20402.0,44.0
455,20465.0,20508.0,43.0
456,20518.0,20577.0,59.0
457,20526.0,20583.0,57.0
458,20528.0,20584.0,56.0
459,20756.0,20804.0,48.0
460,20776.0,20817.0,41.0
461,20833.0,20876.0,43.0
462,20876.0,20919.0,43.0
463,21148.0,21196.0,48.0
464,21163.0,21206.0,43.0
465,21233.0,21286.0,53.0
466,21240.0,21287.0,47.0
467,21302.0,21347.0,45.0
468,21334.0,21415.0,81.0
469,21336.0,21420.0,84.0
470,21369.0,21436.0,67.0
471,21371.0,21441.0,70.0
472,21374.0,21442.0,68.0
473,21429.0,21472.0,43.0
474,21509.0,21556.0,47.0
475,21546.0,21590.0,44.0
476,21580.0,21622.0,42.0
477,21664.0,21707.0,43.0
478,21878.0,21945.0,67.0
479,21885.0,21942.0,57.0
480,21887.0,21954.0,67.0
481,21915.0,21964.0,49.0
482,21946.0,22000.0,54.0
483,21976.0,22031.0,55.0
484,21992.0,22035.0,43.0
485,22047.0,22095.0,48.0
486,22068.0,22109.0,41.0
487,22331.0,22374.0,43.0
488,22385.0,22438.0,53.0
489,22410.0,22457.0,47.0
490,22459.0,22509.0,50.0
491,22490.0,22546.0,56.0
492,22498.0,22551.0,53.0
493,22519.0,22563.0,44.0
494,22565.0,22613.0,48.0
495,22579.0,22623.0,44.0
496,22646.0,22699.0,53.0
497,22679.0,22747.0,68.0
498,22696.0,22765.0,69.0
499,22709.0,22764.0,55.0
500,22711.0,22782.0,71.0
501,22726.0,22784.0,58.0
502,22755.0,22802.0,47.0
503,22785.0,22838.0,53.0
504,22828.0,22869.0,41.0
505,22928.0,22982.0,54.0
506,22932.0,22987.0,55.0
507,22961.0,23005.0,44.0
508,23018.0,23061.0,43.0
509,23072.0,23115.0,43.0
510,23117.0,23165.0,48.0
511,23133.0,23178.0,45.0
512,23163.0,23207.0,44.0
513,23243.0,23286.0,43.0
514,23312.0,23355.0,43.0
515,23456.0,23502.0,46.0
